cell_type,n_cells,model,pseudobulk_pearson,pseudobulk_rmse_log1p,encoder,species,organ,target,seed,ratio,n_genes
erythroblast.,21,train_mean,0.3050737082958221,0.0895016342401504,conch,human,ovary,FFHO026,1,1.0,200
fibroblast of cardiac tissue.,26,image,0.5505703091621399,0.2894123494625091,conch,human,ovary,FFHO026,1,1.0,200
fibroblast of cardiac tissue.,26,train_mean,0.3948126435279846,0.2725164592266083,conch,human,ovary,FFHO026,1,1.0,200
fibroblast.,898,image,0.6644752621650696,0.3842921853065491,conch,human,ovary,FFHO026,1,1.0,200
fibroblast.,898,train_mean,0.3560508191585541,0.3747862875461578,conch,human,ovary,FFHO026,1,1.0,200
goblet cell.,65,image,0.218267410993576,0.5549845695495605,conch,human,ovary,FFHO026,1,1.0,200
goblet cell.,65,train_mean,0.5262917876243591,0.5055181980133057,conch,human,ovary,FFHO026,1,1.0,200
innate lymphoid cell.,28,image,0.1757343560457229,0.2109469324350357,conch,human,ovary,FFHO026,1,1.0,200
innate lymphoid cell.,28,train_mean,0.2849028408527374,0.1888118684291839,conch,human,ovary,FFHO026,1,1.0,200
intestinal epithelial cell.,218,image,0.222393125295639,0.5555469393730164,conch,human,ovary,FFHO026,1,1.0,200
intestinal epithelial cell.,218,train_mean,0.5810418725013733,0.5035700798034668,conch,human,ovary,FFHO026,1,1.0,200
macrophage.,1248,image,0.19903264939785,0.4118072688579559,conch,human,ovary,FFHO026,1,1.0,200
macrophage.,1248,train_mean,0.200240358710289,0.3857024013996124,conch,human,ovary,FFHO026,1,1.0,200
malignant cell.,34,image,0.1962650865316391,0.5241353511810303,conch,human,ovary,FFHO026,1,1.0,200
malignant cell.,34,train_mean,0.4932961165904999,0.4742591381072998,conch,human,ovary,FFHO026,1,1.0,200
monocyte.,88,image,0.1477864384651184,0.3985328078269958,conch,human,ovary,FFHO026,1,1.0,200
monocyte.,88,train_mean,0.2153414785861969,0.369545429944992,conch,human,ovary,FFHO026,1,1.0,200
myeloid cell.,21,image,0.2135312259197235,0.1055560633540153,conch,human,ovary,FFHO026,1,1.0,200
myeloid cell.,21,train_mean,0.3397085666656494,0.0969313830137252,conch,human,ovary,FFHO026,1,1.0,200
natural killer cell.,31,image,0.2243296504020691,0.2623398303985595,conch,human,ovary,FFHO026,1,1.0,200
natural killer cell.,31,train_mean,0.2365805953741073,0.2422927767038345,conch,human,ovary,FFHO026,1,1.0,200
neutrophil.,161,image,0.214954674243927,0.3544269800186157,conch,human,ovary,FFHO026,1,1.0,200
neutrophil.,161,train_mean,0.2989883720874786,0.3212241232395172,conch,human,ovary,FFHO026,1,1.0,200
plasma cell.,108,image,0.224271759390831,0.3531811535358429,conch,human,ovary,FFHO026,1,1.0,200
plasma cell.,108,train_mean,0.326759397983551,0.3249940872192383,conch,human,ovary,FFHO026,1,1.0,200
smooth muscle cell.,203,image,0.5970025062561035,0.3678902089595794,conch,human,ovary,FFHO026,1,1.0,200
smooth muscle cell.,203,train_mean,0.4128001034259796,0.3492093682289123,conch,human,ovary,FFHO026,1,1.0,200
stromal cell.,591,image,0.5433756709098816,0.1868680566549301,conch,human,ovary,FFHO026,1,1.0,200
stromal cell.,591,train_mean,0.4169771373271942,0.1739473640918731,conch,human,ovary,FFHO026,1,1.0,200
B cell.,31,image,0.2262071222066879,0.306537002325058,conch,human,ovary,FFHO026,2,1.0,200
B cell.,31,train_mean,0.2918513715267181,0.2794940769672394,conch,human,ovary,FFHO026,2,1.0,200
"CD8-positive, alpha-beta T cell.",50,image,0.1749677062034607,0.2566320896148681,conch,human,ovary,FFHO026,2,1.0,200
"CD8-positive, alpha-beta T cell.",50,train_mean,0.2463480681180954,0.234389916062355,conch,human,ovary,FFHO026,2,1.0,200
T cell.,182,image,0.2190838009119033,0.3299312591552734,conch,human,ovary,FFHO026,2,1.0,200
T cell.,182,train_mean,0.2733349800109863,0.3037838935852051,conch,human,ovary,FFHO026,2,1.0,200
cultured cell.,1145,image,0.2259330004453659,0.5182645916938782,conch,human,ovary,FFHO026,2,1.0,200
cultured cell.,1145,train_mean,0.594676673412323,0.4638654589653015,conch,human,ovary,FFHO026,2,1.0,200
dendritic cell.,26,image,0.1746007800102234,0.3611348867416382,conch,human,ovary,FFHO026,2,1.0,200
dendritic cell.,26,train_mean,0.2576139867305755,0.3284868597984314,conch,human,ovary,FFHO026,2,1.0,200
endothelial cell of lymphatic vessel.,39,image,0.2062423825263977,0.51058429479599,conch,human,ovary,FFHO026,2,1.0,200
endothelial cell of lymphatic vessel.,39,train_mean,0.477140337228775,0.4656206667423248,conch,human,ovary,FFHO026,2,1.0,200
endothelial cell of vascular tree.,1100,image,0.3156338334083557,0.2896830141544342,conch,human,ovary,FFHO026,2,1.0,200
endothelial cell of vascular tree.,1100,train_mean,0.5290144681930542,0.2484476119279861,conch,human,ovary,FFHO026,2,1.0,200
endothelial cell.,1687,image,0.3465798199176788,0.2934727072715759,conch,human,ovary,FFHO026,2,1.0,200
endothelial cell.,1687,train_mean,0.4459410905838012,0.2589356303215027,conch,human,ovary,FFHO026,2,1.0,200
enterocyte.,20,image,0.3327938914299011,0.4534429609775543,conch,human,ovary,FFHO026,2,1.0,200
enterocyte.,20,train_mean,0.5265756845474243,0.4143311381340027,conch,human,ovary,FFHO026,2,1.0,200
epithelial cell of lower respiratory tract.,2593,image,0.2614730298519134,0.5062329173088074,conch,human,ovary,FFHO026,2,1.0,200
epithelial cell of lower respiratory tract.,2593,train_mean,0.5843539237976074,0.4561684131622314,conch,human,ovary,FFHO026,2,1.0,200
epithelial cell of lung.,24,image,0.3174715638160705,0.6375781297683716,conch,human,ovary,FFHO026,2,1.0,200
epithelial cell of lung.,24,train_mean,0.4172349870204925,0.6051287651062012,conch,human,ovary,FFHO026,2,1.0,200
epithelial cell of proximal tubule.,146,image,0.2349387109279632,0.5593283176422119,conch,human,ovary,FFHO026,2,1.0,200
epithelial cell of proximal tubule.,146,train_mean,0.5441111922264099,0.5113058090209961,conch,human,ovary,FFHO026,2,1.0,200
epithelial cell.,1104,image,0.2518930435180664,0.5277389287948608,conch,human,ovary,FFHO026,2,1.0,200
epithelial cell.,1104,train_mean,0.5303772687911987,0.4804826378822326,conch,human,ovary,FFHO026,2,1.0,200
erythroblast.,21,image,-0.0218072347342968,0.0843582600355148,conch,human,ovary,FFHO026,2,1.0,200
erythroblast.,21,train_mean,0.3050737082958221,0.0895016342401504,conch,human,ovary,FFHO026,2,1.0,200
fibroblast of cardiac tissue.,26,image,0.5563190579414368,0.2885084450244903,conch,human,ovary,FFHO026,2,1.0,200
fibroblast of cardiac tissue.,26,train_mean,0.3948126435279846,0.2725164592266083,conch,human,ovary,FFHO026,2,1.0,200
fibroblast.,898,image,0.6683358550071716,0.3834106624126434,conch,human,ovary,FFHO026,2,1.0,200
fibroblast.,898,train_mean,0.3560508191585541,0.3747862875461578,conch,human,ovary,FFHO026,2,1.0,200
goblet cell.,65,image,0.2142543643712997,0.5549004077911377,conch,human,ovary,FFHO026,2,1.0,200
goblet cell.,65,train_mean,0.5262917876243591,0.5055181980133057,conch,human,ovary,FFHO026,2,1.0,200
innate lymphoid cell.,28,image,0.1726801693439483,0.2104798853397369,conch,human,ovary,FFHO026,2,1.0,200
innate lymphoid cell.,28,train_mean,0.2849028408527374,0.1888118684291839,conch,human,ovary,FFHO026,2,1.0,200
intestinal epithelial cell.,218,image,0.2158499360084533,0.5556728839874268,conch,human,ovary,FFHO026,2,1.0,200
intestinal epithelial cell.,218,train_mean,0.5810418725013733,0.5035700798034668,conch,human,ovary,FFHO026,2,1.0,200
macrophage.,1248,image,0.2027028799057006,0.4111474454402923,conch,human,ovary,FFHO026,2,1.0,200
macrophage.,1248,train_mean,0.200240358710289,0.3857024013996124,conch,human,ovary,FFHO026,2,1.0,200
malignant cell.,34,image,0.1997718214988708,0.523105263710022,conch,human,ovary,FFHO026,2,1.0,200
malignant cell.,34,train_mean,0.4932961165904999,0.4742591381072998,conch,human,ovary,FFHO026,2,1.0,200
monocyte.,88,image,0.1479920595884323,0.3980372250080108,conch,human,ovary,FFHO026,2,1.0,200
monocyte.,88,train_mean,0.2153414785861969,0.369545429944992,conch,human,ovary,FFHO026,2,1.0,200
myeloid cell.,21,image,0.216232419013977,0.104849673807621,conch,human,ovary,FFHO026,2,1.0,200
myeloid cell.,21,train_mean,0.3397085666656494,0.0969313830137252,conch,human,ovary,FFHO026,2,1.0,200
natural killer cell.,31,image,0.2238730192184448,0.2623048424720764,conch,human,ovary,FFHO026,2,1.0,200
natural killer cell.,31,train_mean,0.2365805953741073,0.2422927767038345,conch,human,ovary,FFHO026,2,1.0,200
neutrophil.,161,image,0.2128720730543136,0.3539662659168243,conch,human,ovary,FFHO026,2,1.0,200
neutrophil.,161,train_mean,0.2989883720874786,0.3212241232395172,conch,human,ovary,FFHO026,2,1.0,200
plasma cell.,108,image,0.2270070761442184,0.3524451553821563,conch,human,ovary,FFHO026,2,1.0,200
plasma cell.,108,train_mean,0.326759397983551,0.3249940872192383,conch,human,ovary,FFHO026,2,1.0,200
smooth muscle cell.,203,image,0.6038933992385864,0.3668882846832275,conch,human,ovary,FFHO026,2,1.0,200
smooth muscle cell.,203,train_mean,0.4128001034259796,0.3492093682289123,conch,human,ovary,FFHO026,2,1.0,200
stromal cell.,591,image,0.5493087768554688,0.1858401298522949,conch,human,ovary,FFHO026,2,1.0,200
stromal cell.,591,train_mean,0.4169771373271942,0.1739473640918731,conch,human,ovary,FFHO026,2,1.0,200
B cell.,277,image,0.3078125119209289,0.1146210357546806,conch,human,ovary,HOCD032,0,1.0,200
B cell.,277,train_mean,0.4230978786945343,0.1875805556774139,conch,human,ovary,HOCD032,0,1.0,200
"CD14-positive, CD16-negative classical monocyte.",28,image,0.2130189388990402,0.1298756748437881,conch,human,ovary,HOCD032,0,1.0,200
"CD14-positive, CD16-negative classical monocyte.",28,train_mean,0.2382610589265823,0.2087939828634262,conch,human,ovary,HOCD032,0,1.0,200
"CD8-positive, alpha-beta T cell.",150,image,0.331641674041748,0.123627096414566,conch,human,ovary,HOCD032,0,1.0,200
"CD8-positive, alpha-beta T cell.",150,train_mean,0.3904053270816803,0.1996981650590896,conch,human,ovary,HOCD032,0,1.0,200
T cell.,181,image,0.2943733632564544,0.1067825108766555,conch,human,ovary,HOCD032,0,1.0,200
T cell.,181,train_mean,0.3766709864139557,0.178002193570137,conch,human,ovary,HOCD032,0,1.0,200
cultured cell.,239,image,0.3188816010951996,0.1662272661924362,conch,human,ovary,HOCD032,0,1.0,200
cultured cell.,239,train_mean,0.367038756608963,0.1959221512079239,conch,human,ovary,HOCD032,0,1.0,200
dendritic cell.,176,image,0.3467422425746918,0.1299388855695724,conch,human,ovary,HOCD032,0,1.0,200
dendritic cell.,176,train_mean,0.4631511569023132,0.1617537587881088,conch,human,ovary,HOCD032,0,1.0,200
endothelial cell of vascular tree.,175,image,0.2837856113910675,0.114532470703125,conch,human,ovary,HOCD032,0,1.0,200
endothelial cell of vascular tree.,175,train_mean,0.3765410482883453,0.1823131293058395,conch,human,ovary,HOCD032,0,1.0,200
endothelial cell.,4978,image,0.3846757113933563,0.1723230332136154,conch,human,ovary,HOCD032,0,1.0,200
endothelial cell.,4978,train_mean,0.4440886080265045,0.1845084726810455,conch,human,ovary,HOCD032,0,1.0,200
epithelial cell of lower respiratory tract.,92,image,0.3720702230930328,0.1660366803407669,conch,human,ovary,HOCD032,0,1.0,200
epithelial cell of lower respiratory tract.,92,train_mean,0.3904592394828796,0.1955890953540802,conch,human,ovary,HOCD032,0,1.0,200
epithelial cell.,401,image,0.37968510389328,0.1873476356267929,conch,human,ovary,HOCD032,0,1.0,200
epithelial cell.,401,train_mean,0.4260811507701874,0.1994201838970184,conch,human,ovary,HOCD032,0,1.0,200
erythroblast.,44,image,0.3085085153579712,0.1405740529298782,conch,human,ovary,HOCD032,0,1.0,200
erythroblast.,44,train_mean,0.3659184277057647,0.1858742386102676,conch,human,ovary,HOCD032,0,1.0,200
erythroid lineage cell.,28,image,0.321483850479126,0.2354580909013748,conch,human,ovary,HOCD032,0,1.0,200
erythroid lineage cell.,28,train_mean,0.364983320236206,0.2366442531347274,conch,human,ovary,HOCD032,0,1.0,200
fibroblast of cardiac tissue.,247,image,0.6552911996841431,0.0840082019567489,conch,human,ovary,HOCD032,0,1.0,200
fibroblast of cardiac tissue.,247,train_mean,0.2714767158031463,0.1975616812705993,conch,human,ovary,HOCD032,0,1.0,200
fibroblast.,1191,image,0.6329807043075562,0.0879724249243736,conch,human,ovary,HOCD032,0,1.0,200
fibroblast.,1191,train_mean,0.3572746813297272,0.1840583384037017,conch,human,ovary,HOCD032,0,1.0,200
goblet cell.,21,image,0.3726316392421722,0.1386217027902603,conch,human,ovary,HOCD032,0,1.0,200
goblet cell.,21,train_mean,0.4262326061725616,0.1769988536834716,conch,human,ovary,HOCD032,0,1.0,200
innate lymphoid cell.,22,image,0.3138872981071472,0.1585769951343536,conch,human,ovary,HOCD032,0,1.0,200
innate lymphoid cell.,22,train_mean,0.3555837571620941,0.1919690519571304,conch,human,ovary,HOCD032,0,1.0,200
macrophage.,1405,image,0.3530805110931396,0.1201083436608314,conch,human,ovary,HOCD032,0,1.0,200
macrophage.,1405,train_mean,0.4383691251277923,0.1634275168180465,conch,human,ovary,HOCD032,0,1.0,200
malignant cell.,164,image,0.38194540143013,0.159655213356018,conch,human,ovary,HOCD032,0,1.0,200
malignant cell.,164,train_mean,0.4226678311824798,0.186354398727417,conch,human,ovary,HOCD032,0,1.0,200
microglial cell.,42,image,0.3197694718837738,0.1144374459981918,conch,human,ovary,HOCD032,0,1.0,200
microglial cell.,42,train_mean,0.3682229518890381,0.1840141266584396,conch,human,ovary,HOCD032,0,1.0,200
monocyte.,22,image,0.3292882740497589,0.1609960943460464,conch,human,ovary,HOCD032,0,1.0,200
monocyte.,22,train_mean,0.3719155788421631,0.1804544031620025,conch,human,ovary,HOCD032,0,1.0,200
myeloid cell.,204,image,0.3451853692531585,0.1197631657123565,conch,human,ovary,HOCD032,0,1.0,200
myeloid cell.,204,train_mean,0.4446465075016022,0.1678237169981002,conch,human,ovary,HOCD032,0,1.0,200
native cell.,94,image,0.3081943392753601,0.1279810070991516,conch,human,ovary,HOCD032,0,1.0,200
native cell.,94,train_mean,0.3405690491199493,0.1878992170095443,conch,human,ovary,HOCD032,0,1.0,200
natural killer cell.,73,image,0.3037769198417663,0.1095170080661773,conch,human,ovary,HOCD032,0,1.0,200
natural killer cell.,73,train_mean,0.343805193901062,0.1858735829591751,conch,human,ovary,HOCD032,0,1.0,200
neutrophil.,32,image,0.2852493524551391,0.1451372504234314,conch,human,ovary,HOCD032,0,1.0,200
neutrophil.,32,train_mean,0.3909664154052734,0.1788403242826461,conch,human,ovary,HOCD032,0,1.0,200
pericyte.,20,image,0.6081234216690063,0.101176880300045,conch,human,ovary,HOCD032,0,1.0,200
pericyte.,20,train_mean,0.2589820623397827,0.1972689181566238,conch,human,ovary,HOCD032,0,1.0,200
plasma cell.,236,image,0.3537791669368744,0.141101598739624,conch,human,ovary,HOCD032,0,1.0,200
plasma cell.,236,train_mean,0.453881561756134,0.1728580892086029,conch,human,ovary,HOCD032,0,1.0,200
smooth muscle cell.,625,image,0.4873343706130981,0.1051975786685943,conch,human,ovary,HOCD032,0,1.0,200
smooth muscle cell.,625,train_mean,0.4569705426692962,0.1701022088527679,conch,human,ovary,HOCD032,0,1.0,200
stromal cell of ovary.,28,image,0.3596249222755432,0.1305284798145294,conch,human,ovary,HOCD032,0,1.0,200
stromal cell of ovary.,28,train_mean,0.2917000353336334,0.2066234648227691,conch,human,ovary,HOCD032,0,1.0,200
stromal cell.,487,image,0.3742440938949585,0.1136312186717987,conch,human,ovary,HOCD032,0,1.0,200
stromal cell.,487,train_mean,0.4439234435558319,0.1731283366680145,conch,human,ovary,HOCD032,0,1.0,200
B cell.,277,image,0.309814304113388,0.1185585409402847,conch,human,ovary,HOCD032,1,1.0,200
B cell.,277,train_mean,0.4230978786945343,0.1875805556774139,conch,human,ovary,HOCD032,1,1.0,200
"CD14-positive, CD16-negative classical monocyte.",28,image,0.2148168683052063,0.1343811899423599,conch,human,ovary,HOCD032,1,1.0,200
"CD14-positive, CD16-negative classical monocyte.",28,train_mean,0.2382610589265823,0.2087939828634262,conch,human,ovary,HOCD032,1,1.0,200
"CD8-positive, alpha-beta T cell.",150,image,0.3322658240795135,0.1269308775663375,conch,human,ovary,HOCD032,1,1.0,200
"CD8-positive, alpha-beta T cell.",150,train_mean,0.3904053270816803,0.1996981650590896,conch,human,ovary,HOCD032,1,1.0,200
T cell.,181,image,0.2985267043113708,0.1089562624692916,conch,human,ovary,HOCD032,1,1.0,200
T cell.,181,train_mean,0.3766709864139557,0.178002193570137,conch,human,ovary,HOCD032,1,1.0,200
cultured cell.,239,image,0.3287545442581177,0.1654819548130035,conch,human,ovary,HOCD032,1,1.0,200
cultured cell.,239,train_mean,0.367038756608963,0.1959221512079239,conch,human,ovary,HOCD032,1,1.0,200
dendritic cell.,176,image,0.3521042764186859,0.1301978826522827,conch,human,ovary,HOCD032,1,1.0,200
dendritic cell.,176,train_mean,0.4631511569023132,0.1617537587881088,conch,human,ovary,HOCD032,1,1.0,200
endothelial cell of vascular tree.,175,image,0.2857823073863983,0.1163469552993774,conch,human,ovary,HOCD032,1,1.0,200
endothelial cell of vascular tree.,175,train_mean,0.3765410482883453,0.1823131293058395,conch,human,ovary,HOCD032,1,1.0,200
endothelial cell.,4978,image,0.3931326866149902,0.1711957603693008,conch,human,ovary,HOCD032,1,1.0,200
endothelial cell.,4978,train_mean,0.4440886080265045,0.1845084726810455,conch,human,ovary,HOCD032,1,1.0,200
epithelial cell of lower respiratory tract.,92,image,0.3819980025291443,0.1650984585285186,conch,human,ovary,HOCD032,1,1.0,200
epithelial cell of lower respiratory tract.,92,train_mean,0.3904592394828796,0.1955890953540802,conch,human,ovary,HOCD032,1,1.0,200
epithelial cell.,401,image,0.387162983417511,0.1863200217485427,conch,human,ovary,HOCD032,1,1.0,200
epithelial cell.,401,train_mean,0.4260811507701874,0.1994201838970184,conch,human,ovary,HOCD032,1,1.0,200
erythroblast.,44,image,0.3130746185779571,0.1424009352922439,conch,human,ovary,HOCD032,1,1.0,200
